experiment_id,config_id,seed,n_agents,game_type,complexity_penalty,initial_precision,max_precision,min_precision,γ_update_factor,prior_α,prior_β,action_precision,structure_learning_threshold,bias,bias_duration,post_bias_duration,adoption_at_bias_end,gamma_at_bias_end,final_adoption,final_gamma,final_correlation,true_cooperation_rate,false_cooperation_rate,cooperation_gap,mean_ingroup_belief,mean_outgroup_belief,belief_difference,institution_emerged,self_fulfilling,elapsed_time
exp10_func_paradox,1,100101,16,VeryHighFuncPD,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.15,100,300,0.4375,2.0662793401544417,0.125,4.524942773523934,-0.022226809799064134,0.19777777777777777,0.16285714285714287,0.03492063492063491,0.18319992572745675,0.21039418025039847,-0.02719425452294172,false,false,2.1069998741149902
exp10_func_paradox,1,100102,16,VeryHighFuncPD,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.15,100,300,0.5,1.9849788796565324,0.0625,4.794462340872393,0.0059870709997475735,0.1111111111111111,0.15714285714285714,-0.046031746031746035,0.1783701072140239,0.17981881854921944,-0.0014487113351955294,false,false,2.0959999561309814
exp10_func_paradox,1,100103,16,VeryHighFuncPD,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.15,100,300,0.4375,3.147901110915098,0.0625,4.251720307915153,0.017051847371535978,0.09,0.13166666666666665,-0.04166666666666666,0.16136890121595732,0.13579421176400094,0.025574689451956373,false,false,2.0920000076293945
exp10_func_paradox,1,100104,16,VeryHighFuncPD,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.15,100,300,0.625,2.0350880005857688,0.3125,5.190346718001012,0.028616453425505173,0.324,0.42333333333333334,-0.09933333333333333,0.28075498955334144,0.2671244172387389,0.013630572314602518,false,false,2.1080000400543213
exp10_func_paradox,1,100105,16,VeryHighFuncPD,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.15,100,300,0.6875,2.2767019911169735,0.9375,4.831684767913747,0.07294816203757959,0.628,0.5166666666666667,0.11133333333333328,0.387530062088389,0.3481536875039226,0.03937637458446641,true,true,2.1589999198913574
exp10_func_paradox,1,100106,16,VeryHighFuncPD,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.15,100,300,0.4375,2.0754994053562754,0.0625,4.635399042633924,-0.026665665609299838,0.1025,0.165,-0.06250000000000001,0.1480089407711151,0.17389378371719383,-0.025884842946078734,false,false,2.0970001220703125
exp10_func_paradox,1,100107,16,VeryHighFuncPD,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.15,100,300,0.625,2.623652023873511,1.0,5.258265041078671,-0.006345615101623847,0.74,0.5022222222222222,0.23777777777777775,0.44325055707044847,0.43349234271098763,0.009758214359460837,true,true,2.1029999256134033
exp10_func_paradox,1,100108,16,VeryHighFuncPD,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.15,100,300,0.375,1.5229226399452178,0.0625,3.4638779352762668,-0.011900006109797773,0.08666666666666667,0.16857142857142857,-0.0819047619047619,0.1491149454557044,0.1621561858431976,-0.013041240387493214,false,false,2.127000093460083
exp10_func_paradox,1,100109,16,VeryHighFuncPD,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.15,100,300,0.4375,2.4748822250629545,0.0625,3.7229925066197715,-0.025452278010118193,0.108,0.1,0.007999999999999993,0.12148204991653455,0.14405175486403649,-0.022569704947501934,false,false,2.0939998626708984
exp10_func_paradox,1,100110,16,VeryHighFuncPD,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.15,100,300,0.625,2.5367357807267323,0.875,5.027891085501719,0.04049345819637501,0.6875,0.39,0.2975,0.40411589530927416,0.36421731392404716,0.039898581385227005,true,true,2.0840001106262207
