experiment_id,config_id,seed,n_agents,game_type,complexity_penalty,initial_precision,max_precision,min_precision,γ_update_factor,prior_α,prior_β,action_precision,structure_learning_threshold,bias,bias_duration,post_bias_duration,adoption_at_bias_end,gamma_at_bias_end,final_adoption,final_gamma,final_correlation,true_cooperation_rate,false_cooperation_rate,cooperation_gap,mean_ingroup_belief,mean_outgroup_belief,belief_difference,institution_emerged,self_fulfilling,elapsed_time
exp1_minimal_trigger,1,1101,16,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.01,25,300,0.0625,1.0265037237587493,0.875,5.511006477552388,-0.017427946585729465,0.24181818181818182,0.668,-0.4261818181818182,0.25382727777770514,0.2303496012641009,0.023477676513604245,true,true,2.2360000610351562
exp1_minimal_trigger,1,1102,16,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.01,25,300,0.0,1.0,0.125,3.095969657993326,0.02843852884858898,0.17,0.138,0.032,0.1368696049399982,0.10830151442107297,0.028568090518925227,false,false,2.1030001640319824
exp1_minimal_trigger,1,1103,16,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.01,25,300,0.125,1.0274766785919756,0.0625,2.2464569232199034,0.019425996204933585,0.0525,0.1675,-0.11500000000000002,0.12415621323790813,0.10558537914696642,0.018570834090941707,false,false,2.1449999809265137
exp1_minimal_trigger,1,1104,16,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.01,25,300,0.0,1.0,0.0625,1.2019773025110196,-0.006013637084035989,0.14285714285714285,0.10666666666666667,0.036190476190476176,0.09929783578077475,0.10473568128416742,-0.0054378455033926715,false,false,2.2060000896453857
exp1_minimal_trigger,1,1105,16,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.01,25,300,0.0,1.0,0.0,2.125,0.01551848204817452,0.1,0.11,-0.009999999999999995,0.1207723450709778,0.10656757182109305,0.014204773249884742,false,false,2.132999897003174
exp1_minimal_trigger,1,1106,16,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.01,25,300,0.0625,1.0082523826543461,0.0,1.1757402204167073,-0.0037117138872908018,0.082,0.11333333333333333,-0.031333333333333324,0.10331599619397569,0.10640221235747356,-0.0030862161634978708,false,false,2.202000141143799
exp1_minimal_trigger,1,1107,16,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.01,25,300,0.0,1.0,0.25,3.3228164330607513,-0.03983297985153764,0.17666666666666667,0.092,0.08466666666666667,0.10422363496971118,0.14608697822145378,-0.041863343251742596,false,false,2.1710000038146973
exp1_minimal_trigger,1,1108,16,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.01,25,300,0.0,1.0,0.0,1.6127652437672964,-0.006059615821777678,0.09333333333333334,0.132,-0.03866666666666667,0.09224583603695413,0.0993832501855134,-0.007137414148559271,false,false,2.1689999103546143
exp1_minimal_trigger,1,1109,16,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.01,25,300,0.0625,1.0247650061132179,0.125,2.4393444376891265,-0.04521175236891381,0.152,0.15666666666666668,-0.00466666666666668,0.0984042066287919,0.14311273521264717,-0.04470852858385527,false,false,2.125
exp1_minimal_trigger,1,1110,16,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.01,25,300,0.125,1.0314214746983865,0.0,1.6582743463162832,-0.012570991154187194,0.09,0.08,0.009999999999999995,0.10171450681967242,0.11344303993230807,-0.01172853311263565,false,false,2.126000165939331
exp1_minimal_trigger,1,1111,16,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.01,25,300,0.0625,1.016795352250999,0.0,1.0327676859622121,0.002815367827405685,0.14,0.096,0.04400000000000001,0.1082903896871715,0.10813076009637013,0.0001596295908013745,false,false,2.0429999828338623
exp1_minimal_trigger,1,1112,16,PrisonersDilemma,0.05,1.0,10.0,0.1,1.05,1.0,1.0,2.0,10,0.01,25,300,0.0,1.0,0.0,2.4308315865539525,-0.016714006745961296,0.12,0.104,0.016,0.10736744093735513,0.12294584923531277,-0.015578408297957633,false,false,2.1409997940063477
